x,y,z,error,xHansen,yHansen,zHansen,errorHansen,xTGP,yTGP,zTGP,errorTGP,xDBLS,yDBLS,zDBLS,errorDBLS
302.41,1.809,9.51,2.991324847,139.7289654,0.0001,7.29666519,3.505749152,127,0.0001,14.0959,11.02429843,293,0.0001,0.748,-0.748
304.34,1.796,9.27,1.312053331,138.7293019,0.0001,7.724153127,1.905761724,151.7,0.198,14.0959,-6.962957567,293,0.26,1.46,-1.46
306.16,1.851,9.03,6.937132465,137.853729,0.0001,8.183743288,-0.121692239,167.35,0.367,14.0959,-3.02531853,293,0.455,1.9,-1.9
307.98,1.814,8.87,2.082973477,136.8804102,0.0001,8.595832029,-0.665272423,171.85,0.411,14.0959,-3.690074254,293,0.65,2.63,-2.63
309.87,1.813,8.66,1.533048483,135.921372,0.0001,9.055445384,-1.36670316,189.2,0.62,14.0959,-0.278445193,293,0.0001,1.041392685,-1.041392685
311.65,1.823,8.45,2.330422311,134.7665953,0.0001,9.562629742,-1.11430019,219.5,0.985,14.0959,-0.59112579,263,0.0001,1.278753601,-1.278753601
294.55,1.864,11.8,-1.238459935,133.8370527,0.0001,10.03808464,-1.122613966,236,1.215,14.0959,1.21415424,242,0.0001,1.51851394,-1.51851394
296.95,1.857,11.3,-1.247525445,132.9210518,0.0001,10.57690568,-1.331710257,266.99,1.645,14.0959,0.695578182,222,0.0001,1.770852012,-1.770852012
298.8,1.866,11,-0.452889906,131.7171969,0.0001,11.14612804,0.423465991,280,1.86,14.0959,3.021228404,202,0.0001,2.206825876,-2.206825876
300.65,1.834,10.7,-3.62070221,130.8306687,0.0001,11.74973632,0.645512702,296,2.05,14.0959,-2.614072276,182,0.0001,2.818225894,-2.818225894
302.5,1.888,10.4,1.796232795,129.761393,0.0001,12.33645973,2.870761432,300,2.17,14.0959,2.989183873,162,0.0001,4.012837225,-4.012837225
304.35,1.875,10.2,-0.358848358,,,,,315,2.42,14.0959,3.682646395,348.15,0.21,1.1,5.895941028
306.15,1.879,9.96,-0.28402728,,,,,322,2.51,14.0959,1.300775325,348.15,0.32,1.35,12.8481925
308.05,1.862,9.71,-2.266178295,,,,,339,2.72,14.0959,-4.903925937,348.15,0.39,1.46,13.17858517
309.77,1.889,9.54,-0.416858543,,,,,343.7,2.83,14.0959,-2.524403418,348.15,0.54,1.69,13.30229836
311.55,1.896,9.32,-0.06230795,,,,,359.2,3.09,14.0959,-2.984595173,348.15,0.66,1.94,15.99396555
313.35,1.904,9.09,0.527949784,,,,,361.8,3.13,14.0959,-3.307199925,348.15,0.78,2.18,17.15826248
315.15,1.931,8.83,3.46214262,,,,,375.4,3.41,14.0959,-0.944146643,,,,
317.05,1.876,8.68,-3.165730467,,,,,379.2,3.57,14.0959,2.992922826,,,,
319.05,1.92,8.43,1.078058995,,,,,383.9,3.61,14.0959,0.911586104,,,,
320.59,1.87,8.23,-3.76935922,,,,,391.6,3.82,14.0959,2.168685148,,,,
322.33,1.875,8.02,-3.338979979,,,,,394.8,3.84,14.0959,1.080554455,,,,
324.15,1.883,7.85,-3.167980893,,,,,398.6,3.9,14.0959,0.631790361,,,,
326.05,1.904,7.68,-1.803995017,,,,,410.7,4.12,14.0959,0.004890342,,,,
329.73,1.883,7.41,-5.815741315,,,,,423,4.32,14.0959,0.341505826,,,,
294.57,2.013,13.2,2.475624407,,,,,430.4,4.39,14.0959,2.09597252,,,,
298.81,1.998,12.6,-0.874118791,,,,,435,4.55,14.0959,1.140237122,,,,
300.7,2.036,12.3,2.440640057,,,,,,,,,,,,
302.51,2.034,12,1.953536704,,,,,,,,,,,,
304.45,2.018,11.8,-0.892008987,,,,,,,,,,,,
306.15,2.037,11.5,0.983932636,,,,,,,,,,,,
309.73,2.042,11,0.521864975,,,,,,,,,,,,
311.61,2.044,10.6,1.60684153,,,,,,,,,,,,
313.41,2.046,10.4,0.996242547,,,,,,,,,,,,
315.22,2.062,10.1,2.80572664,,,,,,,,,,,,
317.01,2.067,9.9,2.60458693,,,,,,,,,,,,
318.77,2.044,9.7,-0.279996872,,,,,,,,,,,,
320.73,2.043,9.43,-0.497215796,,,,,,,,,,,,
322.26,2.087,9.25,3.506912439,,,,,,,,,,,,
324.15,2.045,9.09,-1.756020721,,,,,,,,,,,,
327.81,2.054,8.63,-1.200020509,,,,,,,,,,,,
329.7,2.062,8.44,-1.039596628,,,,,,,,,,,,
348.15,2.127,7.15,-6.007236742,,,,,,,,,,,,
348.15,2.206,7.46,-2.335227228,,,,,,,,,,,,
348.15,2.52,10.1,-1.997697805,,,,,,,,,,,,
348.15,2.492,9.79,-1.503405164,,,,,,,,,,,,
348.15,2.643,11,0.594277516,,,,,,,,,,,,
348.15,2.4,9.2,-3.987011955,,,,,,,,,,,,
348.15,2.314,8.43,-3.680925095,,,,,,,,,,,,
348.15,2.935,14.5,-3.167315896,,,,,,,,,,,,
348.15,2.865,13.2,0.856185615,,,,,,,,,,,,
348.15,2.831,12.9,0.473266094,,,,,,,,,,,,
348.15,2.678,11.4,0.083746079,,,,,,,,,,,,
348.15,1.997,5.86,0.21031758,,,,,,,,,,,,
348.15,2.78,11.8,5.397521639,,,,,,,,,,,,
320.4,2.334,11.97553904,4.073926386,,,,,,,,,,,,
324.98,2.352,11.29689173,4.850833437,,,,,,,,,,,,
334.18,2.332,9.940132747,2.17004943,,,,,,,,,,,,
338.75,2.352,9.366916135,3.337616893,,,,,,,,,,,,
343.25,2.335,8.865969065,0.533261074,,,,,,,,,,,,
347.67,2.327,8.360034514,-0.913206703,,,,,,,,,,,,
351.9,2.348,7.853701156,1.123898212,,,,,,,,,,,,
356.46,2.348,7.339464508,1.071142255,,,,,,,,,,,,
356.62,2.348,7.227675309,2.387627236,,,,,,,,,,,,
361.25,2.348,6.941576597,-0.609471173,,,,,,,,,,,,
343.15,2.446,9.616845185,3.185799529,,,,,,,,,,,,
347.65,2.456,9.245616864,1.539235331,,,,,,,,,,,,
351.95,2.473,8.421329155,6.493780757,,,,,,,,,,,,
356.49,2.47,7.886102947,6.196659556,,,,,,,,,,,,
361.15,2.423,7.753244162,-3.733786267,,,,,,,,,,,,
363.93,2.423,7.363409019,-2.746936168,,,,,,,,,,,,
